iter	Passed	Remaining
0	118	118538
1	120	60122
2	121	40440
3	123	30811
4	125	25024
5	128	21213
6	130	18482
7	132	16412
8	134	14771
9	136	13465
10	138	12437
11	140	11553
12	142	10837
13	145	10246
14	147	9693
15	149	9171
16	151	8738
17	153	8348
18	154	8000
19	156	7669
20	159	7423
21	160	7154
22	162	6910
23	164	6689
24	166	6504
25	168	6322
26	170	6161
27	173	6009
28	174	5853
29	176	5707
30	177	5560
31	179	5442
32	182	5337
33	184	5232
34	185	5119
35	186	5001
36	188	4917
37	191	4835
38	192	4733
39	193	4638
40	195	4570
41	197	4507
42	199	4432
43	200	4366
44	203	4309
45	204	4250
46	206	4180
47	207	4124
48	209	4071
49	211	4016
50	212	3952
51	214	3901
52	215	3849
53	217	3803
54	218	3758
55	220	3715
56	222	3680
57	223	3636
58	225	3589
59	226	3555
60	228	3521
61	230	3490
62	232	3465
63	234	3434
64	236	3402
65	238	3370
66	239	3340
67	241	3310
68	243	3284
69	245	3257
70	247	3232
71	249	3212
72	251	3187
73	253	3169
74	254	3141
75	256	3121
76	258	3097
77	260	3077
78	262	3063
79	264	3045
80	266	3026
81	269	3012
82	270	2983
83	271	2964
84	273	2944
85	275	2931
86	277	2911
87	279	2899
88	281	2882
89	283	2862
90	284	2845
91	286	2828
92	288	2812
93	290	2797
94	292	2782
95	294	2770
96	295	2753
97	297	2738
98	299	2724
99	301	2710
100	302	2695
101	304	2679
102	306	2665
103	307	2652
104	309	2637
105	311	2624
106	312	2609
107	314	2594
108	315	2580
109	317	2568
110	319	2556
111	321	2547
112	323	2540
113	325	2528
114	326	2513
115	328	2501
116	329	2488
117	331	2477
118	333	2466
119	335	2460
120	337	2454
121	339	2439
122	340	2429
123	342	2417
124	343	2406
125	345	2397
126	347	2385
127	348	2374
128	350	2364
129	351	2354
130	353	2345
131	355	2335
132	356	2327
133	358	2318
134	360	2308
135	361	2297
136	363	2287
137	364	2276
138	366	2267
139	367	2257
140	368	2247
141	369	2234
142	370	2223
143	372	2211
144	373	2202
145	374	2191
146	375	2178
147	376	2167
148	377	2154
149	378	2143
150	379	2134
151	380	2125
152	382	2115
153	383	2104
154	384	2094
155	385	2088
156	386	2077
157	387	2066
158	388	2056
159	389	2046
160	390	2035
161	391	2025
162	392	2015
163	393	2005
164	394	1995
165	395	1985
166	396	1977
167	397	1969
168	398	1961
169	400	1953
170	400	1943
171	401	1934
172	402	1925
173	403	1916
174	404	1906
175	405	1898
176	406	1888
177	407	1879
178	408	1871
179	408	1862
180	409	1854
181	410	1845
182	411	1838
183	412	1831
184	413	1823
185	414	1815
186	415	1807
187	416	1799
188	417	1791
189	418	1783
190	419	1775
191	420	1768
192	420	1760
193	421	1752
194	423	1748
195	424	1741
196	425	1734
197	426	1727
198	427	1720
199	428	1713
200	430	1709
201	431	1702
202	431	1695
203	432	1688
204	433	1681
205	434	1674
206	436	1670
207	437	1664
208	437	1657
209	438	1650
210	439	1644
211	440	1637
212	441	1631
213	442	1625
214	443	1618
215	444	1612
216	445	1606
217	446	1600
218	447	1594
219	448	1588
220	448	1582
221	449	1576
222	450	1570
223	451	1564
224	452	1557
225	453	1552
226	454	1546
227	454	1540
228	455	1534
229	456	1529
230	457	1524
231	459	1519
232	460	1514
233	461	1510
234	462	1505
235	463	1499
236	464	1494
237	464	1488
238	465	1482
239	466	1477
240	467	1472
241	468	1466
242	469	1461
243	470	1456
244	471	1452
245	472	1447
246	473	1442
247	474	1438
248	475	1433
249	476	1428
250	477	1424
251	478	1419
252	479	1415
253	480	1410
254	481	1406
255	482	1401
256	483	1397
257	484	1392
258	484	1387
259	486	1384
260	487	1379
261	488	1375
262	489	1371
263	490	1367
264	491	1362
265	492	1358
266	493	1353
267	494	1349
268	494	1345
269	495	1340
270	496	1336
271	497	1332
272	498	1327
273	499	1324
274	500	1320
275	501	1316
276	503	1313
277	504	1309
278	504	1305
279	505	1301
280	506	1297
281	507	1293
282	509	1289
283	509	1285
284	510	1281
285	511	1277
286	512	1273
287	514	1270
288	515	1267
289	515	1263
290	516	1259
291	518	1256
292	519	1252
293	520	1249
294	521	1245
295	522	1242
296	523	1238
297	524	1234
298	525	1230
299	525	1227
300	526	1223
301	527	1219
302	528	1215
303	529	1211
304	530	1207
305	530	1203
306	531	1200
307	532	1196
308	533	1193
309	534	1189
310	535	1186
311	536	1182
312	537	1179
313	538	1176
314	539	1172
315	540	1168
316	540	1165
317	541	1161
318	542	1158
319	543	1155
320	544	1151
321	545	1148
322	546	1144
323	547	1141
324	548	1138
325	549	1135
326	550	1132
327	551	1129
328	552	1126
329	553	1123
330	554	1120
331	555	1116
332	555	1113
333	556	1110
334	557	1106
335	558	1103
336	559	1099
337	559	1096
338	560	1093
339	561	1090
340	563	1088
341	564	1085
342	565	1082
343	565	1079
344	566	1076
345	567	1073
346	568	1070
347	569	1067
348	570	1063
349	571	1060
350	572	1057
351	572	1054
352	573	1051
353	574	1048
354	575	1045
355	576	1043
356	577	1040
357	578	1038
358	580	1035
359	581	1033
360	582	1030
361	583	1027
362	583	1024
363	585	1022
364	586	1019
365	587	1017
366	588	1014
367	589	1012
368	590	1009
369	591	1006
370	592	1003
371	593	1001
372	594	999
373	595	996
374	596	994
375	597	991
376	598	989
377	599	986
378	600	983
379	601	981
380	602	978
381	603	975
382	603	972
383	604	969
384	605	967
385	606	964
386	607	962
387	608	960
388	609	958
389	610	955
390	612	953
391	613	951
392	614	948
393	615	945
394	616	943
395	616	941
396	618	938
397	618	936
398	619	933
399	620	930
400	621	928
401	622	926
402	623	923
403	624	921
404	625	919
405	626	916
406	627	914
407	628	912
408	630	910
409	631	908
410	631	905
411	632	903
412	633	900
413	634	898
414	635	896
415	636	894
416	638	892
417	639	890
418	640	888
419	641	885
420	642	883
421	643	881
422	644	878
423	645	876
424	646	874
425	647	872
426	648	869
427	649	867
428	650	865
429	650	862
430	652	860
431	653	858
432	654	857
433	655	855
434	657	853
435	658	851
436	658	848
437	659	846
438	661	844
439	662	842
440	662	840
441	663	838
442	664	835
443	665	833
444	666	831
445	667	829
446	668	827
447	669	825
448	670	823
449	671	821
450	673	819
451	674	817
452	675	815
453	676	813
454	677	811
455	678	809
456	679	807
457	680	805
458	681	803
459	682	801
460	683	799
461	684	797
462	686	795
463	687	794
464	688	792
465	689	789
466	690	787
467	691	785
468	692	783
469	693	781
470	694	779
471	694	777
472	695	775
473	696	773
474	697	771
475	698	769
476	700	767
477	701	765
478	702	763
479	703	761
480	704	760
481	705	758
482	706	756
483	707	754
484	708	752
485	709	750
486	710	748
487	711	746
488	712	744
489	713	742
490	714	741
491	716	739
492	717	737
493	718	735
494	718	733
495	719	731
496	721	729
497	722	727
498	723	726
499	724	724
500	725	722
501	726	720
502	727	718
503	728	716
504	729	715
505	730	713
506	732	711
507	733	710
508	734	708
509	735	706
510	736	704
511	737	702
512	738	701
513	739	699
514	740	697
515	741	695
516	742	693
517	743	692
518	745	690
519	746	688
520	747	686
521	748	685
522	749	683
523	750	681
524	751	680
525	752	678
526	753	676
527	754	674
528	755	672
529	756	670
530	757	669
531	758	667
532	760	666
533	761	664
534	762	662
535	763	660
536	764	658
537	765	656
538	766	655
539	767	653
540	768	651
541	768	649
542	769	647
543	770	646
544	771	644
545	772	642
546	774	641
547	775	639
548	776	637
549	777	636
550	778	634
551	779	632
552	780	630
553	781	629
554	782	627
555	783	625
556	784	623
557	785	621
558	786	620
559	787	618
560	788	617
561	789	615
562	791	614
563	792	612
564	793	611
565	794	609
566	795	607
567	796	605
568	797	604
569	798	602
570	799	600
571	800	599
572	801	597
573	803	596
574	804	594
575	805	592
576	806	590
577	806	589
578	807	587
579	808	585
580	809	584
581	810	582
582	811	580
583	812	578
584	813	577
585	814	575
586	815	573
